arrival_date,modal_price
02-09-2013,3600
03-09-2013,3775
04-09-2013,3300
05-09-2013,3500
06-09-2013,3500
07-09-2013,3250
08-09-2013,
09-09-2013,3775
10-09-2013,3775
11-09-2013,3800
12-09-2013,3800
13-09-2013,3800
14-09-2013,4100
15-09-2013,3775
16-09-2013,4500
17-09-2013,3825
18-09-2013,4500
19-09-2013,4000
20-09-2013,4300
21-09-2013,4400
22-09-2013,
23-09-2013,5300
24-09-2013,4800
25-09-2013,4500
26-09-2013,4500
27-09-2013,3825
28-09-2013,3775
29-09-2013,3775
30-09-2013,3775
01-10-2013,3775
02-10-2013,3825
03-10-2013,3550
04-10-2013,3600
05-10-2013,3800
06-10-2013,3800
07-10-2013,3750
08-10-2013,3550
09-10-2013,3775
10-10-2013,3825
11-10-2013,3550
12-10-2013,3825
13-10-2013,3825
14-10-2013,2575
15-10-2013,8500
16-10-2013,7000
17-10-2013,2800
18-10-2013,3800
19-10-2013,2800
20-10-2013,2800
21-10-2013,2575
22-10-2013,2525
23-10-2013,2050
24-10-2013,7000
25-10-2013,2075
26-10-2013,2025
27-10-2013,2025
28-10-2013,1900
29-10-2013,1900
30-10-2013,2300
31-10-2013,2300
01-11-2013,4500
02-11-2013,2300
03-11-2013,2550
04-11-2013,4300
05-11-2013,4500
06-11-2013,2300
07-11-2013,2325
08-11-2013,4500
09-11-2013,2050
10-11-2013,2075
11-11-2013,2000
12-11-2013,1900
13-11-2013,4750
14-11-2013,4750
15-11-2013,4750
16-11-2013,4250
17-11-2013,1800
18-11-2013,1925
19-11-2013,1900
20-11-2013,1900
21-11-2013,5250
22-11-2013,5500
23-11-2013,4500
24-11-2013,1925
25-11-2013,4250
26-11-2013,4500
27-11-2013,3500
28-11-2013,3300
29-11-2013,2400
30-11-2013,1800
01-12-2013,1800
02-12-2013,2650
03-12-2013,1650
04-12-2013,1675
05-12-2013,1700
06-12-2013,1675
07-12-2013,4500
08-12-2013,1775
09-12-2013,1800
10-12-2013,5500
11-12-2013,1750
12-12-2013,1650
13-12-2013,1675
14-12-2013,1675
15-12-2013,2150
16-12-2013,2175
17-12-2013,2150
18-12-2013,5250
19-12-2013,2325
20-12-2013,5500
21-12-2013,1550
22-12-2013,1425
23-12-2013,5500
24-12-2013,1475
25-12-2013,1475
26-12-2013,4500
27-12-2013,4500
28-12-2013,1675
29-12-2013,1650
30-12-2013,1575
31-12-2013,3900
01-01-2014,4000
02-01-2014,1675
03-01-2014,1675
04-01-2014,8500
05-01-2014,1675
06-01-2014,8000
07-01-2014,6500
08-01-2014,1675
09-01-2014,1650
10-01-2014,1675
11-01-2014,1650
12-01-2014,1650
13-01-2014,1675
14-01-2014,4400
15-01-2014,4650
16-01-2014,9000
17-01-2014,1675
18-01-2014,14500
19-01-2014,
20-01-2014,14500
21-01-2014,4200
22-01-2014,9500
23-01-2014,8500
24-01-2014,7750
25-01-2014,6250
26-01-2014,5000
27-01-2014,10500
28-01-2014,9250
29-01-2014,6500
30-01-2014,12250
31-01-2014,4500
01-02-2014,2150
02-02-2014,2150
03-02-2014,1650
04-02-2014,13750
05-02-2014,7500
06-02-2014,6000
07-02-2014,6500
08-02-2014,5500
09-02-2014,1650
10-02-2014,14500
11-02-2014,5000
12-02-2014,13000
13-02-2014,11250
14-02-2014,11250
15-02-2014,10500
16-02-2014,1675
17-02-2014,7500
18-02-2014,1700
19-02-2014,5200
20-02-2014,5200
21-02-2014,8500
22-02-2014,9500
23-02-2014,2600
24-02-2014,4800
25-02-2014,5000
26-02-2014,7000
27-02-2014,4600
28-02-2014,4300
01-03-2014,3000
02-03-2014,1675
03-03-2014,4500
04-03-2014,5000
05-03-2014,3300
06-03-2014,4500
07-03-2014,4500
08-03-2014,4500
09-03-2014,2800
10-03-2014,4500
11-03-2014,3750
12-03-2014,3500
13-03-2014,3250
14-03-2014,3250
15-03-2014,3000
16-03-2014,2300
17-03-2014,2500
18-03-2014,3250
19-03-2014,2750
20-03-2014,2750
21-03-2014,2750
22-03-2014,2750
23-03-2014,2400
24-03-2014,2500
25-03-2014,2500
26-03-2014,2500
27-03-2014,2500
28-03-2014,2375
29-03-2014,2250
30-03-2014,2300
31-03-2014,2250
01-04-2014,2000
02-04-2014,2250
03-04-2014,2050
04-04-2014,3150
05-04-2014,2100
06-04-2014,2800
07-04-2014,2400
08-04-2014,1850
09-04-2014,1800
10-04-2014,2100
11-04-2014,2650
12-04-2014,1500
13-04-2014,3000
14-04-2014,2750
15-04-2014,2400
16-04-2014,1600
17-04-2014,1800
18-04-2014,2250
19-04-2014,1875
20-04-2014,1000
21-04-2014,1000
22-04-2014,1875
23-04-2014,1500
24-04-2014,1200
25-04-2014,2000
26-04-2014,2750
27-04-2014,1500
28-04-2014,2500
29-04-2014,2750
30-04-2014,1650
01-05-2014,1250
02-05-2014,1500
03-05-2014,2750
04-05-2014,1500
05-05-2014,2500
06-05-2014,2500
07-05-2014,2500
08-05-2014,2500
09-05-2014,2500
10-05-2014,2500
11-05-2014,1500
12-05-2014,2500
13-05-2014,2500
14-05-2014,2500
15-05-2014,2500
16-05-2014,2500
17-05-2014,2250
18-05-2014,1600
19-05-2014,2250
20-05-2014,2000
21-05-2014,2250
22-05-2014,2250
23-05-2014,1500
24-05-2014,800
25-05-2014,1200
26-05-2014,2125
27-05-2014,2000
28-05-2014,2000
29-05-2014,2000
30-05-2014,2000
31-05-2014,2000
01-06-2014,800
02-06-2014,2000
03-06-2014,2500
04-06-2014,2500
05-06-2014,1750
06-06-2014,2500
07-06-2014,2500
08-06-2014,900
09-06-2014,4700
10-06-2014,2500
11-06-2014,2500
12-06-2014,2500
13-06-2014,4800
14-06-2014,2500
15-06-2014,3200
16-06-2014,2500
17-06-2014,2250
18-06-2014,2500
19-06-2014,2500
20-06-2014,2100
21-06-2014,906
22-06-2014,1750
23-06-2014,1000
24-06-2014,1000
25-06-2014,500
26-06-2014,800
27-06-2014,4750
28-06-2014,4750
29-06-2014,2750
30-06-2014,2250
01-07-2014,4000
02-07-2014,2500
03-07-2014,4000
04-07-2014,2500
05-07-2014,1700
06-07-2014,1200
07-07-2014,5000
08-07-2014,1007
09-07-2014,600
10-07-2014,1800
11-07-2014,800
12-07-2014,2700
13-07-2014,1100
14-07-2014,1000
15-07-2014,3000
16-07-2014,700
17-07-2014,1700
18-07-2014,3400
19-07-2014,2200
20-07-2014,2000
21-07-2014,3300
22-07-2014,3400
23-07-2014,600
24-07-2014,3600
25-07-2014,3600
26-07-2014,600
27-07-2014,1200
28-07-2014,3300
29-07-2014,3400
30-07-2014,3300
31-07-2014,2300
01-08-2014,4200
02-08-2014,1700
03-08-2014,1200
04-08-2014,4600
05-08-2014,3200
06-08-2014,5000
07-08-2014,3200
08-08-2014,3200
09-08-2014,3500
10-08-2014,4000
11-08-2014,2000
12-08-2014,5600
13-08-2014,5600
14-08-2014,5700
15-08-2014,4700
16-08-2014,3800
17-08-2014,
18-08-2014,3200
19-08-2014,2300
20-08-2014,5400
21-08-2014,2300
22-08-2014,2300
23-08-2014,5400
24-08-2014,
25-08-2014,5400
26-08-2014,5600
27-08-2014,0
28-08-2014,5400
29-08-2014,5600
30-08-2014,5500
31-08-2014,
01-09-2014,6000
02-09-2014,
03-09-2014,7000
04-09-2014,6000
05-09-2014,6000
06-09-2014,6500
07-09-2014,
08-09-2014,
09-09-2014,6900
10-09-2014,7500
11-09-2014,5100
12-09-2014,9500
13-09-2014,7000
14-09-2014,
15-09-2014,3900
16-09-2014,4275
17-09-2014,5600
18-09-2014,4300
19-09-2014,5600
20-09-2014,4300
21-09-2014,
22-09-2014,4100
23-09-2014,3300
24-09-2014,5400
25-09-2014,4600
26-09-2014,3325
27-09-2014,3325
28-09-2014,3300
29-09-2014,5500
30-09-2014,2775
01-10-2014,2775
02-10-2014,2775
03-10-2014,2775
04-10-2014,2775
05-10-2014,
06-10-2014,2800
07-10-2014,4600
08-10-2014,6400
09-10-2014,2575
10-10-2014,2775
11-10-2014,2775
12-10-2014,2550
13-10-2014,2575
14-10-2014,2325
15-10-2014,2075
16-10-2014,1675
17-10-2014,1800
18-10-2014,2550
19-10-2014,2550
20-10-2014,2300
21-10-2014,1800
22-10-2014,1800
23-10-2014,1800
24-10-2014,7600
25-10-2014,8000
26-10-2014,2775
27-10-2014,2900
28-10-2014,2800
29-10-2014,2800
30-10-2014,6600
31-10-2014,2800
01-11-2014,2300
02-11-2014,2300
03-11-2014,2300
04-11-2014,2300
05-11-2014,4500
06-11-2014,2300
07-11-2014,2700
08-11-2014,2700
09-11-2014,2700
10-11-2014,2700
11-11-2014,2450
12-11-2014,5600
13-11-2014,6100
14-11-2014,8000
15-11-2014,2275
