,timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
73,1619976905,Maharashtra,Satara,Satara,Drumstick,Other,02/05/2021,1000,1500,1250
74,1619976905,Maharashtra,Satara,Satara,Ginger(Green),Other,02/05/2021,1000,1500,1250
75,1619976905,Maharashtra,Satara,Satara,Green Chilli,Other,02/05/2021,1000,1500,1250
76,1619976905,Maharashtra,Satara,Satara,Guar,Other,02/05/2021,2000,3000,2500
77,1619976905,Maharashtra,Satara,Satara,Onion,Other,02/05/2021,1000,1200,1100
78,1619976905,Maharashtra,Satara,Satara,Peas Wet,Other,02/05/2021,7000,8000,7500
79,1619976905,Maharashtra,Satara,Satara,Potato,Other,02/05/2021,1000,1600,1300
80,1619976905,Maharashtra,Satara,Satara,Tomato,Other,02/05/2021,800,1000,900
81,1619976905,Maharashtra,Satara,Vai,Bhindi(Ladies Finger),Other,02/05/2021,2500,3000,2750
82,1619976905,Maharashtra,Satara,Vai,Bottle gourd,Other,02/05/2021,1000,1200,1100
83,1619976905,Maharashtra,Satara,Vai,Brinjal,Other,02/05/2021,1200,1500,1350
84,1619976905,Maharashtra,Satara,Vai,Cabbage,Other,02/05/2021,700,800,750
85,1619976905,Maharashtra,Satara,Vai,Cucumbar(Kheera),Other,02/05/2021,1000,1200,1100
86,1619976905,Maharashtra,Satara,Vai,Ginger(Green),Other,02/05/2021,1800,2200,2000
87,1619976905,Maharashtra,Satara,Vai,Guar,Other,02/05/2021,2500,3000,2750
88,1619976905,Maharashtra,Satara,Vai,Potato,Other,02/05/2021,1300,1600,1450
89,1619976905,Maharashtra,Satara,Vai,Tomato,Local,02/05/2021,500,1100,800
90,1619976905,Maharashtra,Thane,Shahapur,Bhindi(Ladies Finger),Other,02/05/2021,1000,1200,1100
91,1619976905,Maharashtra,Thane,Shahapur,Guar,Other,02/05/2021,2000,2200,2100
92,1619976905,Odisha,Angul,Angul,Brinjal,Other,02/05/2021,1500,2000,1800
93,1619976905,Odisha,Angul,Angul(Jarapada),Brinjal,Other,02/05/2021,1500,2000,1800
94,1619976905,Odisha,Angul,Angul(Jarapada),Onion,Other,02/05/2021,1800,2000,2000
95,1619976905,Odisha,Bargarh,Godabhaga,Paddy(Dhan)(Common),Other,02/05/2021,1868,1888,1868
96,1619976905,Odisha,Ganjam,Hinjilicut,Brinjal,Other,02/05/2021,1800,2500,2000
97,1619976905,Odisha,Ganjam,Hinjilicut,Onion,Other,02/05/2021,1800,2500,2000
98,1619976905,Odisha,Mayurbhanja,Betnoti,Bhindi(Ladies Finger),Bhindi,02/05/2021,2000,3000,2500
99,1619976905,Odisha,Mayurbhanja,Betnoti,Brinjal,Other,02/05/2021,2000,3000,2500
100,1619976905,Odisha,Mayurbhanja,Betnoti,Fish,Other,02/05/2021,16000,20000,18000
101,1619976905,Odisha,Mayurbhanja,Betnoti,Onion,Other,02/05/2021,1800,2200,2000
102,1619976905,Odisha,Mayurbhanja,Betnoti,Pointed gourd (Parval),Other,02/05/2021,5000,8000,6000
103,1619976905,Odisha,Mayurbhanja,Betnoti,Potato,Potato,02/05/2021,1200,1500,1300
104,1619976905,Odisha,Mayurbhanja,Betnoti,Ridge gourd(Tori),Ridgeguard(Tori),02/05/2021,2500,4000,3000
105,1619976905,Odisha,Mayurbhanja,Betnoti,Tomato,Tomato,02/05/2021,800,1500,1000
106,1619976905,Odisha,Rayagada,Gunpur,Brinjal,Other,02/05/2021,3000,3050,3050
107,1619976905,Odisha,Rayagada,Rayagada(Muniguda),Tomato,Other,02/05/2021,3100,3150,3150
108,1619976905,Odisha,Sundergarh,Panposh,Bhindi(Ladies Finger),Other,02/05/2021,1200,1600,1500
109,1619976905,Odisha,Sundergarh,Panposh,Brinjal,Other,02/05/2021,1200,1600,1500
110,1619976905,Odisha,Sundergarh,Panposh,Cabbage,Other,02/05/2021,600,1000,900
111,1619976905,Odisha,Sundergarh,Panposh,Cauliflower,Other,02/05/2021,2600,3000,2900
112,1619976905,Odisha,Sundergarh,Panposh,Tomato,Other,02/05/2021,1200,1600,1500
113,1619976905,Punjab,Amritsar,Chogawan,Cauliflower,Cauliflower,02/05/2021,600,700,650
114,1619976905,Punjab,Amritsar,Majitha,Cauliflower,Cauliflower,02/05/2021,700,700,700
115,1619976905,Punjab,Amritsar,Majitha,Cucumbar(Kheera),Cucumbar,02/05/2021,600,600,600
116,1619976905,Punjab,Barnala,Bhadaur,Wheat,Other,02/05/2021,1975,1975,1975
117,1619976905,Punjab,Barnala,Bhadaur(Sehna),Wheat,Other,02/05/2021,1975,1975,1975
118,1619976905,Punjab,Barnala,Mehal Kalan,Wheat,Other,02/05/2021,1975,1975,1975
119,1619976905,Punjab,Bhatinda,Sangat,Wheat,Other,02/05/2021,1975,1975,1975
120,1619976905,Punjab,Faridkot,Faridkot,Wheat,Other,02/05/2021,1975,1975,1975
121,1619976905,Punjab,Faridkot,Sadiq,Wheat,Other,02/05/2021,1975,1975,1975
122,1619976905,Punjab,Fatehgarh,Amloh,Wheat,147 Best,02/05/2021,1975,1975,1975
